molecule,domain,start,end
AB0004A8HO,Mu-like_gpT,539,605
AB0004A8HO,SDH_sah,60,121
AB0004AACK,CLP_protease,26,205
AB0004CA84,CLP_protease,22,201
AB0004CKQM,CLP_protease,11,191
AB0004D2OY,CLP_protease,17,195
AB0004E6Z2,CLP_protease,22,201
AB0004E9IQ,CLP_protease,30,184
AB0004EAKZ,CLP_protease,22,201
AB0004EEAZ,CLP_protease,13,192
AB0004EED1,CLP_protease,42,176
AB0004EEWR,CLP_protease,42,176
AB0004EFY1,SDH_sah,52,109
AB0004F9GK,CLP_protease,13,192
AB0004FJD7,CLP_protease,15,193
AB0004FJD8,CLP_protease,15,185
AB0004FJF3,CLP_protease,12,186
AB0004FJF4,CLP_protease,39,214
AB0004FQD0,CLP_protease,13,192
AB0004FT7R,CLP_protease,4,175
AB0004FU0G,CLP_protease,13,193
AB0004G3JT,CLP_protease,30,196
AB0004G51D,CLP_protease,21,200
AB0004GCP9,CLP_protease,24,197
AB0004GCPA,CLP_protease,33,208
AB0004GD2K,CLP_protease,38,206
AB0004GHFX,CLP_protease,16,190
AB0004GIRM,CLP_protease,12,191
AB0004GKKZ,CLP_protease,13,191
AB0004IAL3,CLP_protease,13,190
AB0004IAQP,CLP_protease,18,195
AB0004IAWG,CLP_protease,13,190
AB0004IBLD,CLP_protease,26,204
AB0004IC2H,CLP_protease,26,205
AB0004II2Q,CLP_protease,14,192
AB0004IJJK,CLP_protease,39,174
AB0004IKR5,CLP_protease,13,192
AB0004IKSE,CLP_protease,39,174
AB0004ILLV,SDH_sah,44,101
AB0004ILWF,SDH_sah,59,124
AB0004JBD2,CLP_protease,36,210
AB0004JBD3,CLP_protease,5,175
AB0004JCRQ,CLP_protease,18,191
AB0004JCRR,CLP_protease,16,194
AB0004JP1G,CLP_protease,33,209
AB0004JP1H,CLP_protease,20,193
AB0004KII0,CLP_protease,24,203
AB0004LHNT,CLP_protease,33,212
AB0004LJAY,CLP_protease,13,191
AB0004LJE5,CLP_protease,18,197
AB0004MCKZ,CLP_protease,36,215
AB0004MDJ3,CLP_protease,23,202
AB0004MMMG,CLP_protease,19,198
AB0004N8P6,SDH_sah,23,107
AB0004NA88,CLP_protease,11,190
AB0004NB9K,CLP_protease,22,193
AB0004NQX7,CLP_protease,45,221
AB0004NQY1,CLP_protease,205,356
AB0004O1ZC,CLP_protease,17,196
AB0004O3F1,SDH_sah,58,117
AB0004OBVC,CLP_protease,9,181
AB0004OD2I,CLP_protease,13,187
AB0004OD2J,CLP_protease,25,201
AB0004P80X,CLP_protease,8,187
AB0004PC7E,CLP_protease,43,218
AB0004PCYB,SDH_sah,55,136
AB0004PDFS,CLP_protease,13,192
AB0004PFJF,CLP_protease,13,192
AB0004QLPK,CLP_protease,11,190
AB0004QM9G,CLP_protease,46,212
AB0004QM9H,CLP_protease,16,195
AB0004QMZH,CLP_protease,27,205
AB0004QUCC,CLP_protease,11,190
AB0004QUJ1,CLP_protease,50,218
AB0004QUJ2,CLP_protease,19,197
AB0004QUMG,CLP_protease,37,215
AB0004R4X7,CLP_protease,11,190
AB0004R57E,CLP_protease,42,220
AB0004R76Y,CLP_protease,17,195
AB0004R76Z,CLP_protease,28,206
AB0004RCEM,CLP_protease,18,195
AB0004RCLQ,CLP_protease,27,206
AB0004RCP6,CLP_protease,31,216
AB0004RDJC,CLP_protease,41,219
AB0004REEB,CLP_protease,11,190
AB0004REQ5,CLP_protease,1,173
AB0004RERU,CLP_protease,47,216
AB0004RERV,CLP_protease,17,196
AB0004RGJO,CLP_protease,36,215
AB0004RGZO,CLP_protease,27,206
AB0004RGZP,CLP_protease,18,195
AB0004RIA8,CLP_protease,11,190
AB0004RJJU,CLP_protease,11,190
AB0004RJWP,CLP_protease,17,196
AB0004RJWQ,CLP_protease,24,206
AB0004RK2B,CLP_protease,42,220
AB0004RN4H,CLP_protease,19,195
AB0004RN4I,CLP_protease,24,203
AB0004RO7U,CLP_protease,11,190
AB0004ROPW,CLP_protease,32,211
AB0004RQ9I,CLP_protease,37,215
AB0004RRQ2,CLP_protease,11,190
AB0004RT5W,CLP_protease,18,195
AB0004RT5X,CLP_protease,27,206
AB0004RV5X,CLP_protease,19,197
AB0004RVCB,CLP_protease,40,218
AB0004RW1W,CLP_protease,17,195
AB0004RW1X,CLP_protease,27,206
AB0004RXSO,CLP_protease,11,190
AB0004S3GD,CLP_protease,11,190
AB0004S570,CLP_protease,16,195
AB0004S571,CLP_protease,27,207
AB0004S591,CLP_protease,39,217
AB0004S9AE,CLP_protease,26,206
AB0004S9AF,CLP_protease,18,195
AB0004SAI6,CLP_protease,11,190
AB0004SBK7,CLP_protease,37,215
AB0004SDQ1,CLP_protease,17,195
AB0004SDQ2,CLP_protease,25,206
AB0004SEM3,CLP_protease,11,190
AB0004SFHJ,CLP_protease,36,214
AB0004SJ7T,CLP_protease,11,190
AB0004SJLK,CLP_protease,38,216
AB0004SKDF,CLP_protease,17,195
AB0004SKDG,CLP_protease,27,206
AB0004SLUR,CLP_protease,38,216
AB0004SNC6,CLP_protease,17,196
AB0004SNEY,CLP_protease,27,206
AB0004SNEZ,CLP_protease,18,195
AB0004SNRG,CLP_protease,11,190
AB0004SR5P,CLP_protease,28,207
AB0004SRIB,CLP_protease,36,213
AB0004SS75,CLP_protease,8,186
AB0004SS76,CLP_protease,48,216
AB0004STNI,CLP_protease,19,197
AB0004STNJ,CLP_protease,48,216
AB0004SUB6,CLP_protease,11,190
AB0004SV8X,CLP_protease,31,208
AB0004SVE9,CLP_protease,56,217
AB0004T16Y,CLP_protease,11,188
AB0004T1HE,CLP_protease,42,219
AB0004T1OS,CLP_protease,17,195
AB0004T1OT,CLP_protease,49,216
AB0004T8CE,CLP_protease,13,192
AB0004V3WY,CLP_protease,27,206
AB0004VMPU,CLP_protease,13,192
AB0004VO9L,CLP_protease,11,185
AB0004VO9M,CLP_protease,27,200
AB0004VQTX,CLP_protease,15,186
AB0004VQTY,CLP_protease,16,194
AB0004VUTP,CLP_protease,13,192
AB0004VW90,SDH_sah,53,115
AB0004WC75,CLP_protease,27,206
AB0004WNXC,CLP_protease,18,197
AB0004WQ66,CLP_protease,15,193
AB0004WTTR,CLP_protease,12,191
AB0004WX1P,CLP_protease,13,180
AB0004WXXD,CLP_protease,48,223
AB0004YLV9,CLP_protease,35,214
AB0004YMH9,CLP_protease,23,202
AB0004YV7K,CLP_protease,37,172
AB0004YVM1,CLP_protease,13,190
AB0004YZ6Q,CLP_protease,28,207
AB0004Z2W5,CLP_protease,21,200
AB0004Z6WG,CLP_protease,13,192
AB000511RE,CLP_protease,22,201
AB000518K1,CLP_protease,25,204
AB000519BS,CLP_protease,64,194
AB000519O5,CLP_protease,72,206
AB00051E8Y,CLP_protease,13,195
AB00051H4L,CLP_protease,24,203
AB00051HUK,CLP_protease,49,191
AB00051I2J,CLP_protease,15,194
AB00051KKK,CLP_protease,15,192
AB00051KKL,CLP_protease,9,180
AB00051KNF,CLP_protease,19,199
AB00051LDB,CLP_protease,20,192
AB000529Z9,CLP_protease,11,190
AB00052AUZ,CLP_protease,24,203
AB00053D2A,CLP_protease,13,192
AB00054WVW,CLP_protease,20,200
AB00054XYT,CLP_protease,38,218
AB00054XYU,CLP_protease,16,188
AB000552KC,SDH_sah,56,127
AB000553JO,CLP_protease,13,192
AB000558R2,CLP_protease,23,196
AB000558R3,CLP_protease,33,208
AB0005598K,CLP_protease,34,201
AB00055AFB,CLP_protease,8,183
AB00055C5I,SDH_sah,77,212
AB00055D2I,CLP_protease,17,191
AB00055MXA,CLP_protease,17,195
AB00056PQZ,CLP_protease,36,215
AB000593LS,CLP_protease,22,196
AB000593LT,CLP_protease,26,202
AB0005DHJJ,CLP_protease,13,191
AB0005DQJ1,CLP_protease,21,198
AB0005DROV,CLP_protease,32,212
AB0005DROW,CLP_protease,16,188
AB0005EDNB,CLP_protease,14,193
AB0005EEIA,CLP_protease,18,194
AB0005F6Y7,CLP_protease,17,191
AB0005F8MZ,CLP_protease,36,209
AB0005F8N0,CLP_protease,19,192
AB0005I28X,CLP_protease,13,192
AB0005I2ML,CLP_protease,13,191
AB0005IMNT,CLP_protease,25,204
AB0005IR5M,CLP_protease,16,196
AB0005IR5N,CLP_protease,45,214
AB0005IS2H,CLP_protease,34,212
AB0005IS5Y,CLP_protease,11,190
AB0005IVLV,SDH_sah,46,111
AB0005IVXS,CLP_protease,11,192
AB0005JBH4,CLP_protease,31,202
AB0005JBH5,CLP_protease,16,194
AB0005MHWP,CLP_protease,23,196
AB0005MHWQ,CLP_protease,33,208
AB0005MIDD,CLP_protease,31,198
AB0005MMNJ,CLP_protease,17,191
AB0005N1QO,CLP_protease,29,208
AB0005N1VZ,SDH_sah,66,132
AB0005NNRS,CLP_protease,21,198
AB0005PBLH,CLP_protease,22,201
AB0005QGW3,CLP_protease,19,196
AB0005QH4X,SDH_sah,35,104
AB0005QVV1,CLP_protease,22,201
AB0005SHHV,CLP_protease,24,203
AB0005SIK6,CLP_protease,17,196
AB0005SU9A,CLP_protease,17,196
AB0005T999,CLP_protease,45,219
AB0005U6TK,CLP_protease,15,191
AB0005U7O1,CLP_protease,26,205
AB0005U9QI,CLP_protease,13,192
AB0005UGLU,CLP_protease,27,192
AB0005UGWF,CLP_protease,19,183
AB0005UIUH,CLP_protease,26,205
AB0005USVF,CLP_protease,21,200
AB0005UTJ5,CLP_protease,17,195
AB0005UU2H,CLP_protease,21,190
AB0005V2P3,CLP_protease,68,197
AB0005V3LO,CLP_protease,34,213
AB0005VNM5,CLP_protease,13,192
AB0005VNU0,Mu-like_gpT,436,509
AB0005VNU0,Mu-like_gpT,513,571
AB0005VNU0,SDH_sah,45,144
AB0005VXG4,CLP_protease,15,194
AB0005VYQS,CLP_protease,12,191
AB0005W78S,CLP_protease,38,213
AB0005W78T,CLP_protease,12,186
AB0005W7DB,CLP_protease,16,186
AB0005W7DC,CLP_protease,15,193
AB0005WGCX,CLP_protease,27,200
AB0005WH4M,CLP_protease,12,186
AB0005WHQP,CLP_protease,11,186
AB0005X3MZ,CLP_protease,26,204
AB0005X3N0,CLP_protease,16,190
AB0005Z17B,CLP_protease,58,232
AB0005Z1FQ,CLP_protease,6,160
AB0005Z1FQ,Mu-like_Pro,201,319
AB0005Z5BC,SDH_sah,54,117
AB0005Z5CY,SDH_sah,50,108
AB0005Z5O1,CLP_protease,13,192
AB0005Z5X6,SDH_sah,49,107
AB0005Z6IS,CLP_protease,13,191
AB000601PV,CLP_protease,14,187
AB0006027C,CLP_protease,13,192
AB000611XM,SDH_sah,50,110
AB000611Z9,SDH_sah,50,113
AB000612E2,SDH_sah,46,108
AB000612SP,CLP_protease,13,192
AB00061320,SDH_sah,45,110
AB000613DU,SDH_sah,37,105
AB000626DE,CLP_protease,19,198
AB000627M3,CLP_protease,19,200
AB00062HG3,SDH_sah,23,88
AB00062HHG,CLP_protease,34,176
AB00062I1L,CLP_protease,49,187
AB00062IIG,CLP_protease,13,191
AB00062YZK,CLP_protease,29,205
AB00062YZL,CLP_protease,15,188
AB000637CV,CLP_protease,13,192
AB000638PO,CLP_protease,13,192
AB00063A51,CLP_protease,13,191
AB0006716M,CLP_protease,46,220
AB0006738H,CLP_protease,15,195
AB0006738I,CLP_protease,15,187
AB000674U7,CLP_protease,21,197
AB000674U8,CLP_protease,22,196
AB00067OQZ,CLP_protease,13,192
AB00067TW4,CLP_protease,13,192
AB00068CZG,CLP_protease,20,199
AB00068DF2,CLP_protease,23,196
AB0006A5XO,CLP_protease,25,196
AB0006A5XP,CLP_protease,15,195
AB0006A752,CLP_protease,37,217
AB0006A753,CLP_protease,19,191
AB0006AAAT,CLP_protease,19,198
AB0006AYMD,CLP_protease,22,201
AB0006AYSU,CLP_protease,54,186
AB0006CIBD,CLP_protease,10,181
AB0006CIBE,CLP_protease,29,206
AB0006CNM4,CLP_protease,48,183
AB0006CNS5,CLP_protease,36,214
AB0006CT91,CLP_protease,19,198
AB0006CU7D,SDH_sah,35,120
AB0006DBUZ,CLP_protease,13,192
AB0006DKF4,SDH_sah,43,121
AB0006DKKG,CLP_protease,13,192
AB0006DLI7,SDH_sah,43,121
AB0006DRKQ,CLP_protease,43,217
AB0006ESMD,CLP_protease,27,206
AB0006F01Y,CLP_protease,13,195
AB0006F2DF,CLP_protease,60,196
AB0006F2EH,CLP_protease,38,214
AB0006F81T,CLP_protease,13,192
AB0006FD3U,CLP_protease,15,188
AB0006FD3V,CLP_protease,22,197
AB0006FFYL,CLP_protease,17,196
AB0006FGVL,CLP_protease,12,191
AB0006FMB5,CLP_protease,13,192
AB0006FOTH,CLP_protease,54,191
AB0006G1PT,CLP_protease,13,192
AB0006G2GM,CLP_protease,47,180
AB0006GBWZ,SDH_sah,48,160
AB0006GCYD,CLP_protease,13,191
AB0006GFVN,CLP_protease,14,190
AB0006GGW0,CLP_protease,13,192
AB0006GNYN,CLP_protease,43,215
AB0006GPSQ,CLP_protease,21,200
AB0006GV0V,CLP_protease,13,192
AB0006HU9U,CLP_protease,16,194
AB0006HU9V,CLP_protease,15,185
AB0006HWSH,CLP_protease,42,217
AB0006HWSI,CLP_protease,19,193
AB0006I03Q,CLP_protease,22,198
AB0006I03R,CLP_protease,18,192
AB0006IEJS,CLP_protease,14,193
AB0006IH4Z,CLP_protease,19,196
AB0006IH50,CLP_protease,28,207
AB0006IILS,CLP_protease,39,217
AB0006IK3N,CLP_protease,11,190
AB0006IMMD,CLP_protease,22,201
AB0006IXEX,CLP_protease,13,192
AB0006IYSA,CLP_protease,17,189
AB0006JLNI,CLP_protease,21,200
AB0006JVJW,CLP_protease,19,193
AB0006JVJX,CLP_protease,23,200
AB0006JXCA,CLP_protease,18,190
AB0006MAW5,CLP_protease,22,201
AB0006N0SR,CLP_protease,35,214
AB0006NB6B,CLP_protease,25,203
AB0006NBQO,SDH_sah,51,120
AB0006Q6AZ,CLP_protease,13,192
AB0006QPNB,CLP_protease,14,193
AB0006QPZS,CLP_protease,19,193
AB0006QT3K,CLP_protease,38,213
AB0006QT3L,CLP_protease,20,192
AB0006U7V0,CLP_protease,43,218
AB0006U8HM,CLP_protease,6,178
AB0006UF2R,CLP_protease,13,192
AB0006UGJA,CLP_protease,13,191
AB0006UI4A,CLP_protease,13,191
AB0006V5LZ,CLP_protease,12,190
AB0006V665,CLP_protease,45,212
AB0006V666,CLP_protease,16,196
AB0006V6GQ,CLP_protease,35,213
AB0006VCDN,CLP_protease,24,193
AB0006VDCF,CLP_protease,26,205
AB0006VPUB,CLP_protease,13,192
AB0006VR6G,CLP_protease,13,192
AB0006VTF3,CLP_protease,13,191
AB0006W4T6,CLP_protease,13,192
AB0006W6FF,CLP_protease,13,191
AB0006W8UB,CLP_protease,13,191
AB0006WEWE,CLP_protease,13,192
AB0006WGDX,CLP_protease,13,191
AB0006WIIQ,CLP_protease,13,191
AB0006WIMJ,SDH_sah,69,135
AB0006WOZF,CLP_protease,39,173
AB0006WP2W,CLP_protease,29,208
AB0006WQCJ,SDH_sah,53,117
AB0006WQHJ,CLP_protease,13,191
AB0006WS1C,CLP_protease,13,190
AB0006WT45,CLP_protease,13,192
AB0006WUNQ,CLP_protease,13,192
AB0006WVUC,SDH_sah,52,111
AB0006WWV4,CLP_protease,13,191
AB0006XBAQ,CLP_protease,29,208
AB0006XBKS,CLP_protease,66,197
AB0006XMD8,CLP_protease,29,208
AB0006XNEJ,CLP_protease,65,195
AB0006YCUW,CLP_protease,12,184
AB0006YCUX,CLP_protease,16,193
AB0006YD90,CLP_protease,12,185
AB0006YD91,CLP_protease,38,213
AB0006YEIV,Mu-like_Pro,233,365
AB0006YEIV,SDH_sah,64,123
AB0006YHA3,SDH_sah,58,135
AB0006YI58,CLP_protease,11,185
AB0006YJ82,CLP_protease,13,192
AB0006YN13,CLP_protease,45,182
AB0006YNF4,CLP_protease,26,205
AB00073ZKT,SDH_sah,45,127
AB000740XF,CLP_protease,14,192
AB000742QV,CLP_protease,13,192
AB0007574N,CLP_protease,17,196
AB000757VV,CLP_protease,26,205
AB000759K5,CLP_protease,70,199
AB000759K5,Mu-like_gpT,551,623
AB000769JI,CLP_protease,13,192
AB00076BAC,CLP_protease,15,194
AB00076BAD,CLP_protease,16,185
AB00076D1B,CLP_protease,17,193
AB00076D1C,CLP_protease,13,186
AB00077LY7,CLP_protease,22,201
AB00077O76,CLP_protease,55,192
AB00077OMF,CLP_protease,13,192
AB00077Q3Z,CLP_protease,43,218
AB00079DM2,CLP_protease,21,200
AB0007A6GT,CLP_protease,49,198
AB0007A7QX,CLP_protease,42,216
AB0007AE1T,CLP_protease,24,203
AB0007ANHJ,CLP_protease,14,195
AB0007AO3P,CLP_protease,37,173
AB0007AOLG,CLP_protease,45,178
AB0007BUU9,CLP_protease,18,187
AB0007DNRY,CLP_protease,25,193
AB0007DNWZ,CLP_protease,20,199
AB0007DZKX,CLP_protease,22,199
AB0007DZUF,CLP_protease,30,208
AB0007DZUG,CLP_protease,12,185
AB0007E2UB,CLP_protease,19,191
AB0007E2UC,CLP_protease,37,217
AB0007EU2M,CLP_protease,20,198
AB0007EV8L,CLP_protease,32,212
AB0007EV8M,CLP_protease,16,189
AB0007EZWQ,CLP_protease,14,193
AB0007FEK0,CLP_protease,48,216
AB0007FEK1,CLP_protease,18,196
AB0007FEKD,CLP_protease,47,226
AB0007FFCA,CLP_protease,11,190
AB0007FKMA,CLP_protease,12,191
AB0007G19C,CLP_protease,13,192
AB0007G2OD,SDH_sah,48,121
AB0007G33R,CLP_protease,13,192
AB0007G9CZ,Mu-like_Pro,218,364
AB0007G9CZ,SDH_sah,24,98
AB0007G9IU,CLP_protease,26,202
AB0007G9IV,CLP_protease,18,192
AB0007HJTM,CLP_protease,13,192
AB0007HPDM,CLP_protease,43,218
AB0007HPR1,SDH_sah,94,204
AB0007HQDX,CLP_protease,13,192
AB0007I2GH,CLP_protease,13,191
AB0007I786,CLP_protease,27,205
AB0007ICYO,CLP_protease,19,198
AB0007IKHI,CLP_protease,47,223
AB0007IUFC,CLP_protease,26,204
AB0007IUKZ,CLP_protease,24,203
AB0007IVNK,CLP_protease,255,426
AB0007J4TC,CLP_protease,21,200
AB0007JYHU,CLP_protease,13,192
AB0007K0PF,CLP_protease,42,176
AB0007K4KC,CLP_protease,18,196
AB0007K50D,CLP_protease,16,196
AB0007K50E,CLP_protease,45,214
AB0007K5AJ,CLP_protease,11,190
AB0007KNTB,SDH_sah,37,101
AB0007KOCR,CLP_protease,13,192
AB0007L6TW,CLP_protease,18,197
AB0007L7ZC,CLP_protease,31,211
AB0007L7ZD,CLP_protease,21,193
AB0007MQH0,CLP_protease,65,198
AB0007MR47,CLP_protease,29,208
AB0007N1CG,CLP_protease,35,214
AB0007N3YY,CLP_protease,28,148
AB0007OF7N,CLP_protease,13,192
AB0007OH1D,CLP_protease,14,192
AB0007RXEK,CLP_protease,22,201
AB0007RXEL,CLP_protease,17,192
AB0007SXKS,CLP_protease,27,192
AB0007SYEQ,CLP_protease,26,205
AB0007WWOU,CLP_protease,35,171
AB0007WXIM,CLP_protease,22,201
AB0007XA3E,CLP_protease,20,199
AB0007XD8V,CLP_protease,25,196
AB0007XD8W,CLP_protease,15,195
AB0007XEDE,CLP_protease,37,217
AB0007XEDF,CLP_protease,33,205
AB0007XHIZ,CLP_protease,19,198
AB0007XQL2,CLP_protease,13,179
AB0007XSYW,CLP_protease,30,209
AB0007YOYN,CLP_protease,10,180
AB0007YPHZ,CLP_protease,47,223
AB0007YZRY,CLP_protease,14,186
AB0007YZRZ,CLP_protease,16,194
AB0007Z0MX,CLP_protease,42,217
AB0007Z0MY,CLP_protease,19,193
AB0007Z4DI,SDH_sah,29,99
AB0007Z5DT,CLP_protease,22,201
AB0007ZAQ3,CLP_protease,13,192
AB0007ZE1R,CLP_protease,13,192
AB0007ZEJ1,CLP_protease,13,190
AB0007ZH76,CLP_protease,20,198
AB0007ZKV9,CLP_protease,15,188
AB0007ZKVA,CLP_protease,37,217
AB0007ZWMB,CLP_protease,13,192
AB000811MX,CLP_protease,26,205
AB00081273,CLP_protease,43,182
AB000819NG,CLP_protease,33,206
AB000819NH,CLP_protease,31,206
AB00081BJR,CLP_protease,13,183
AB00081BJS,CLP_protease,15,193
AB0008536P,CLP_protease,20,189
AB000853WJ,CLP_protease,21,200
AB00085CK3,CLP_protease,13,191
AB00085D7O,CLP_protease,13,192
AB00085E79,CLP_protease,13,192
AB00088996,CLP_protease,48,222
AB000889DV,CLP_protease,9,182
AB00089B3U,CLP_protease,24,203
AB00089K5H,CLP_protease,22,201
AB0008ABZA,CLP_protease,29,208
AB0008ARU9,CLP_protease,20,187
AB0008ASD9,CLP_protease,23,203
AB0008BB50,CLP_protease,26,205
AB0008BG34,CLP_protease,14,193
AB0008BGVZ,CLP_protease,14,190
AB0008BIJJ,CLP_protease,13,192
AB0008BYWC,CLP_protease,14,190
AB0008C9HP,CLP_protease,25,204
AB0008CAEG,CLP_protease,13,192
AB0008CAGG,Mu-like_gpT,532,614
AB0008CAGG,SDH_sah,67,130
AB0008CBJL,CLP_protease,26,205
AB0008DOO0,CLP_protease,22,201
AB0008EYVQ,CLP_protease,21,200
AB0008F69S,CLP_protease,22,201
AB0008FXTV,CLP_protease,12,184
AB0008FXTW,CLP_protease,16,193
AB0008FYAS,CLP_protease,25,198
AB0008FYAT,CLP_protease,38,213
AB0008I086,CLP_protease,33,213
AB0008I087,CLP_protease,15,188
AB0008I1R1,CLP_protease,15,195
AB0008I1R2,CLP_protease,26,197
AB0008IZFQ,CLP_protease,27,206
AB0008J63R,CLP_protease,8,187
AB0008JKBW,CLP_protease,23,202
AB0008JUZ7,CLP_protease,20,200
AB0008JWCQ,CLP_protease,18,198
AB0008JWCR,CLP_protease,15,187
AB0008JX9J,CLP_protease,15,195
AB0008JX9K,CLP_protease,28,199
AB0008K1G3,Mu-like_gpT,525,598
AB0008K1G3,SDH_sah,62,121
AB0008K21T,CLP_protease,25,204
AB0008K311,SDH_sah,43,117
AB0008K3P7,CLP_protease,13,192
AB0008K69S,CLP_protease,19,188
AB0008K7KD,CLP_protease,21,200
AB0008KIXH,CLP_protease,16,189
AB0008KIXI,CLP_protease,29,209
AB0008KJVU,CLP_protease,20,200
AB0008KKDT,CLP_protease,15,195
AB0008KKDU,CLP_protease,30,202
AB0008L0KR,CLP_protease,40,219
AB0008MSR2,CLP_protease,19,192
AB0008MU6T,SDH_sah,55,166
AB0008MUVP,CLP_protease,13,192
AB0008NFFG,CLP_protease,25,202
AB0008NFFH,CLP_protease,17,191
AB0008NG08,CLP_protease,29,208
AB0008OCXK,SDH_sah,39,108
AB0008OERZ,CLP_protease,48,223
AB0008OEZQ,CLP_protease,13,166
AB0008P8PN,SDH_sah,67,128
AB0008PAFF,CLP_protease,26,205
AB0008PAT7,CLP_protease,18,193
AB0008QN09,CLP_protease,35,213
AB0008QN0A,CLP_protease,13,186
AB0008R1A8,CLP_protease,13,192
AB0008RUNA,CLP_protease,15,193
AB0008RXN1,CLP_protease,52,217
AB0008RYZF,CLP_protease,12,191
AB0008SG27,CLP_protease,33,211
AB0008T78P,CLP_protease,13,193
AB0008T9UX,CLP_protease,13,192
AB0008U6UM,CLP_protease,13,185
AB0008U6UN,CLP_protease,46,221
AB0008U92W,CLP_protease,13,192
AB0008UB54,SDH_sah,34,103
AB0008WRJ2,CLP_protease,14,190
AB0008Y69U,CLP_protease,14,193
AB0008Y6E7,CLP_protease,14,193
AB00091J7G,CLP_protease,32,211
AB00091UPS,CLP_protease,25,204
AB00091VYC,Mu-like_gpT,531,602
AB00091VYC,SDH_sah,58,117
AB0009225Y,CLP_protease,12,191
AB00092HAK,SDH_sah,59,119
AB00092IZ1,CLP_protease,28,206
AB00092MAY,CLP_protease,18,197
AB00093O6R,CLP_protease,13,192
AB0009444I,CLP_protease,42,219
AB000947YV,CLP_protease,19,198
AB000949LW,CLP_protease,14,187
AB000949LX,CLP_protease,15,193
AB00094AIU,CLP_protease,26,200
AB00094AIV,CLP_protease,37,214
AB00094DA4,CLP_protease,12,191
AB00094G5R,CLP_protease,14,193
AB00094OO8,CLP_protease,29,208
AB00094RIZ,CLP_protease,13,187
AB00094RJ0,CLP_protease,15,193
AB00094T00,CLP_protease,31,209
AB00094T01,CLP_protease,13,186
AB00095PFV,CLP_protease,34,210
AB00095PFW,CLP_protease,20,193
AB00095RS5,CLP_protease,22,201
AB00095V33,CLP_protease,15,193
AB000963LT,CLP_protease,33,210
AB000963V0,CLP_protease,35,205
AB00096L9S,CLP_protease,27,206
AB00096LJP,CLP_protease,63,195
AB00096RC6,CLP_protease,27,206
AB00097H7W,CLP_protease,27,206
AB00097HCI,CLP_protease,21,200
AB00098TWZ,CLP_protease,13,185
AB00098TX0,CLP_protease,33,211
AB00099RZB,CLP_protease,11,190
AB00099TGA,CLP_protease,17,195
AB00099TGB,CLP_protease,20,209
AB00099TGC,CLP_protease,28,217
AB00099VDY,CLP_protease,40,218
AB0009AGFY,SDH_sah,48,118
AB0009AGFY,Mu-like_Pro,200,370
AB0009AGY6,CLP_protease,26,202
AB0009AGY7,CLP_protease,16,189
AB0009AP8J,CLP_protease,13,192
AB0009BGDU,CLP_protease,43,219
AB0009BGDV,CLP_protease,17,190
AB0009CUPD,CLP_protease,15,194
AB0009CUPE,CLP_protease,15,186
AB0009CW10,CLP_protease,38,214
AB0009CW11,CLP_protease,19,192
AB0009DZ64,CLP_protease,10,183
AB0009DZ65,CLP_protease,25,201
AB0009ENY6,CLP_protease,15,194
AB0009ENY7,CLP_protease,16,185
AB0009EOMZ,CLP_protease,9,177
AB0009EPJL,CLP_protease,12,186
AB0009EPJM,CLP_protease,35,210
AB0009EVSJ,CLP_protease,35,210
AB0009EVSK,CLP_protease,12,186
AB0009EWKX,CLP_protease,9,177
AB0009EX68,CLP_protease,16,185
AB0009EX69,CLP_protease,16,194
AB0009FMJI,CLP_protease,20,199
AB0009FYOI,CLP_protease,32,205
AB0009FYOJ,CLP_protease,27,200
AB0009FZNA,CLP_protease,16,194
AB0009FZNB,CLP_protease,15,186
AB0009GRRX,CLP_protease,28,200
AB0009GRRY,CLP_protease,27,206
AB0009H1RJ,CLP_protease,21,200
AB0009H32R,CLP_protease,28,203
AB0009HOKK,CLP_protease,29,208
AB0009HUN6,CLP_protease,20,199
AB0009JVG5,SDH_sah,37,109
AB0009JX24,CLP_protease,22,201
AB0009JZS3,CLP_protease,53,229
AB0009KEKL,CLP_protease,34,211
AB0009KEKM,CLP_protease,7,180
AB0009KFVW,CLP_protease,16,185
AB0009KFVX,CLP_protease,15,195
AB0009LI73,CLP_protease,20,197
AB0009N7XU,CLP_protease,17,196
AB0009N9RQ,CLP_protease,22,201
AB0009O2QP,CLP_protease,36,215
AB0009O4GQ,CLP_protease,24,203
AB0009O8F4,CLP_protease,21,200
AB0009OJ3H,CLP_protease,51,225
AB0009OJIP,CLP_protease,51,224
AB0009P1RT,CLP_protease,26,205
AB0009PK70,CLP_protease,8,181
AB0009PLSC,CLP_protease,12,186
AB0009PLSD,CLP_protease,46,221
AB0009PO9X,CLP_protease,8,187
AB0009PQV6,CLP_protease,13,192
AB0009PVI2,CLP_protease,10,182
AB0009PXQC,CLP_protease,48,222
AB0009QZP0,CLP_protease,13,191
AB0009QZYC,CLP_protease,13,192
AB0009RT4B,CLP_protease,17,196
AB0009RUFZ,CLP_protease,21,200
AB0009S71L,CLP_protease,50,225
AB0009SD82,CLP_protease,13,191
AB0009SDLO,SDH_sah,49,114
AB0009SDRW,SDH_sah,54,121
AB0009SK2X,CLP_protease,22,201
AB0009SMJA,CLP_protease,19,198
AB0009SMXF,CLP_protease,50,188
AB0009SNH1,CLP_protease,16,184
AB0009SZKU,CLP_protease,22,199
